TABLE_NAME	INDEX_NAME	COLUMN_NAME	NON_UNIQUE
os_loan_scheduling	index_contract	contract_id	1
os_loan_scheduling	index_created_by	created_by	1
os_loan_scheduling	index_last_update_by	last_update_by	1
os_loan_scheduling	index_status_action_by	status_action_by	1
os_loan_scheduling	PRIMARY	id	0
os_ml_models	idx_active	is_active	1
os_ml_models	PRIMARY	id	0
os_ml_models	uq_model_version	model_name	0
os_ml_models	uq_model_version	version	0
os_notification	PRIMARY	id	0
os_ocp_audit_log	idx_audit_contract	contract_id	1
os_ocp_audit_log	idx_audit_created	created_at	1
os_ocp_audit_log	idx_audit_type	event_type	1
os_ocp_audit_log	PRIMARY	id	0
os_outcome_labels	idx_contract	contract_id	1
os_outcome_labels	idx_customer	customer_id	1
os_outcome_labels	idx_date	label_date	1
os_outcome_labels	idx_label	label	1
os_outcome_labels	PRIMARY	id	0
os_payment_type	PRIMARY	id	0
os_phone_numbers	id	id	1
os_phone_numbers	PRIMARY	id	0
os_playbook_runs	idx_pb_contract	contract_id	1
os_playbook_runs	idx_pb_status	status	1
os_playbook_runs	PRIMARY	id	0
os_profit_distributions	fk_pd_company	company_id	1
os_profit_distributions	PRIMARY	id	0
os_profit_distribution_lines	fk_pdl_dist	distribution_id	1
os_profit_distribution_lines	fk_pdl_shareholder	shareholder_id	1
os_profit_distribution_lines	PRIMARY	id	0
os_promissory_notes	idx_contract	contract_id	1
os_promissory_notes	idx_status	status	1
os_promissory_notes	PRIMARY	id	0
os_promissory_notes	uq_contract_seq	contract_id	0
os_promissory_notes	uq_contract_seq	sequence_number	0
os_real_estate	PRIMARY	id	0
os_rejester_follow_up_type	PRIMARY	id	0
os_risk_assessments	idx_created	created_at	1
os_risk_assessments	idx_customer	customer_id	1
os_risk_assessments	idx_decision	decision	1
os_risk_assessments	idx_risk_tier	risk_tier	1
os_risk_assessments	PRIMARY	id	0
os_risk_engine_config	config_key	config_key	0
os_risk_engine_config	PRIMARY	id	0
os_shared_expense_allocations	PRIMARY	id	0
os_shared_expense_lines	fk_sel_allocation	allocation_id	1
os_shared_expense_lines	fk_sel_company	company_id	1
os_shared_expense_lines	PRIMARY	id	0
os_shareholders	PRIMARY	id	0
os_sla_status	idx_sla_contract	contract_id	1
os_sla_status	idx_sla_rule	rule_code	1
os_sla_status	idx_sla_status	status	1
os_sla_status	PRIMARY	id	0
os_sms	PRIMARY	id	0
os_status	PRIMARY	id	0
os_stock_movements	idx-stock-item_created	item_id	1
os_stock_movements	idx-stock-item_created	created_at	1
os_stock_movements	idx_sm_date	created_at	1
os_stock_movements	idx_sm_item	item_id	1
os_stock_movements	idx_sm_ref	reference_type	1
os_stock_movements	idx_sm_ref	reference_id	1
os_stock_movements	idx_sm_type	movement_type	1
os_stock_movements	PRIMARY	id	0
os_system_settings	idx_group	setting_group	1
os_system_settings	PRIMARY	id	0
os_system_settings	uk_group_key	setting_group	0
os_system_settings	uk_group_key	setting_key	0
os_user	id	id	1
os_user	PRIMARY	id	0
os_user_categories	PRIMARY	id	0
os_user_categories	uk_slug_company	slug	0
os_user_categories	uk_slug_company	company_id	0
os_user_category_map	idx_category	category_id	1
os_user_category_map	idx_user	user_id	1
os_user_category_map	PRIMARY	id	0
os_user_category_map	uk_user_category	user_id	0
os_user_category_map	uk_user_category	category_id	0
os_vision_api_usage	idx_vision_created	created_at	1
os_vision_api_usage	idx_vision_customer	customer_id	1
os_vision_api_usage	idx_vision_feature	api_feature	1
os_vision_api_usage	idx_vision_status	request_status	1
os_vision_api_usage	PRIMARY	id	0
os_workdays	PRIMARY	id	0
os_work_shift	PRIMARY	id	0
session	PRIMARY	id	0
tbl_persistence_cache	idx_court_contract	court_name	1
tbl_persistence_cache	idx_court_contract	contract_id	1
tbl_persistence_cache	idx_customer_name	customer_name	1
tbl_persistence_cache	idx_judiciary_number	judiciary_number	1
tbl_persistence_cache	idx_last_action_date	last_action_date	1
tbl_persistence_cache	idx_lawyer_name	lawyer_name	1
tbl_persistence_cache	idx_persistence_status	persistence_status	1
tbl_persistence_cache	PRIMARY	id	0
